,category,score
38,airplane,0.5
39,airplane,0.6
41,airplane,0.53
42,airplane,0.54
43,airplane,0.58
47,airplane,0.61
50,airplane,0.55
63,airplane,0.56
64,airplane,0.54
66,airplane,0.52
68,bench,0.53
76,airplane,0.53
87,bench,0.51
91,airplane,0.59
92,airplane,0.59
97,airplane,0.64
98,airplane,0.65
99,airplane,0.61
100,airplane,0.63
101,airplane,0.63
102,airplane,0.64
103,airplane,0.62
104,airplane,0.61
105,airplane,0.62
106,airplane,0.57
111,airplane,0.68
112,airplane,0.61
121,airplane,0.51
122,airplane,0.63
123,airplane,0.64
129,airplane,0.57
130,airplane,0.58
131,airplane,0.62
132,airplane,0.63
133,airplane,0.66
134,airplane,0.63
135,airplane,0.64
136,airplane,0.64
137,airplane,0.63
138,airplane,0.59
139,airplane,0.58
140,airplane,0.52
141,airplane,0.56
143,bench,0.53
146,airplane,0.5
147,airplane,0.56
150,airplane,0.56
151,bench,0.52
159,bench,0.51
162,bench,0.51
167,bench,0.54
171,airplane,0.53
179,bench,0.52
186,airplane,0.52
187,airplane,0.55
189,airplane,0.58
193,airplane,0.5
194,airplane,0.55
195,airplane,0.51
196,airplane,0.58
275,airplane,0.53
276,airplane,0.59
277,airplane,0.61
279,airplane,0.56
283,airplane,0.53
284,airplane,0.51
286,airplane,0.53
287,airplane,0.56
295,airplane,0.51
311,airplane,0.51
315,bench,0.55
316,bench,0.54
318,bench,0.52
321,airplane,0.5
322,airplane,0.55
324,airplane,0.66
328,airplane,0.51
329,airplane,0.51
330,airplane,0.62
331,airplane,0.67
332,airplane,0.54
333,airplane,0.66
334,airplane,0.64
335,airplane,0.62
336,airplane,0.58
337,airplane,0.59
343,airplane,0.62
344,airplane,0.61
345,airplane,0.63
346,airplane,0.64
347,airplane,0.66
348,airplane,0.66
349,airplane,0.62
350,airplane,0.62
351,airplane,0.64
352,airplane,0.59
353,airplane,0.58
354,airplane,0.59
356,airplane,0.58
357,airplane,0.53
361,airplane,0.54
363,airplane,0.58
366,airplane,0.56
384,bench,0.58
392,airplane,0.55
403,airplane,0.54
408,airplane,0.58
409,airplane,0.55
411,airplane,0.55
