,category,score
341,traffic light,0.65
342,traffic light,0.68
343,traffic light,0.64
344,traffic light,0.67
345,traffic light,0.67
346,traffic light,0.66
347,traffic light,0.69
348,traffic light,0.69
349,traffic light,0.73
350,traffic light,0.71
351,traffic light,0.74
352,traffic light,0.71
353,traffic light,0.58
354,traffic light,0.71
355,traffic light,0.68
356,traffic light,0.58
357,traffic light,0.72
358,traffic light,0.65
359,traffic light,0.66
360,traffic light,0.64
361,traffic light,0.59
362,traffic light,0.54
363,traffic light,0.54
364,traffic light,0.62
365,traffic light,0.7
366,traffic light,0.6
367,traffic light,0.63
368,traffic light,0.69
369,traffic light,0.67
370,traffic light,0.67
371,traffic light,0.66
372,traffic light,0.64
373,traffic light,0.61
374,traffic light,0.68
375,traffic light,0.7
376,traffic light,0.7
377,truck,0.62
378,traffic light,0.65
379,traffic light,0.64
