,car,bus,person,chair,suitcase,monitor
m6_0,0.9870967741935484,0.8686868686868687,1.0,0.8,1.0,0.0
m4_0,1.0,0.8926553672316384,1.0,0.9838709677419355,0.0,0.0
4_0,1.0,0.6492146596858639,1.0,0.8916666666666667,0.0,0.0
6_0,1.0,0.47297297297297297,1.0,0.990990990990991,0.0,0.0
0_6,1.0,0.0,1.0,0.9767441860465116,1.0,0.0
0_4,0.68,0.0,1.0,0.8247422680412371,0.0,0.0
0_m4,1.0,0.0,1.0,0.9213483146067416,1.0,0.0
0_m6,1.0,0.0,1.0,1.0,1.0,0.0
avg_acc,0.9583870967741935,0.36044123357216795,1.0,0.9236704242617604,0.5,0.0
