,car,bus,person,chair,suitcase,monitor
m6_0,True,True,True,False,True,True
m4_0,True,True,True,True,False,False
4_0,True,True,True,True,False,False
6_0,True,True,True,True,False,True
0_6,True,False,True,True,False,False
0_4,True,True,True,True,False,False
0_m4,True,True,True,True,True,False
0_m6,True,True,True,True,True,False
