,car,bus,person,chair,suitcase,monitor
m6_0,0.659119496855346,0.5496296296296297,0.6400766283524905,0.0,0.0,0.0
m4_0,0.575,0.5706632653061225,0.7143396226415095,0.5445070422535214,0.0,0.0
4_0,0.6474137931034483,0.572734375,0.6931716417910447,0.5349999999999999,0.5,0.0
6_0,0.5528571428571428,0.5905882352941177,0.5596428571428571,0.0,0.0,0.0
0_6,0.54,0.0,0.5525396825396824,0.0,0.0,0.0
0_4,0.5688888888888889,0.0,0.6252205882352941,0.0,0.0,0.0
0_m4,0.0,0.0,0.6181617647058824,0.0,0.537,0.0
0_m6,0.56,0.0,0.5545185185185185,0.0,0.0,0.0
