,car,bus,person,chair,suitcase,monitor
m6_0,True,True,True,False,True,False
m4_0,True,True,True,True,True,False
4_0,True,True,True,True,True,False
6_0,True,True,True,False,True,False
0_6,True,True,True,True,True,True
0_4,True,True,True,True,True,True
0_m4,True,True,True,True,True,True
0_m6,True,True,True,True,True,True
