,car,bus,person,chair,suitcase,monitor
m6_0,415,439,430,442,424,426
m4_0,380,434,417,406,415,417
4_0,374,460,424,425,418,426
6_0,368,402,452,446,422,457
0_6,385,435,412,421,400,433
0_4,366,441,423,440,404,426
0_m4,372,404,433,443,443,442
0_m6,374,420,413,409,449,431
